產業類別,公司代號,公司名稱,員工薪資總額(仟元),員工人數-加權平均(人),員工薪資-平均數(仟元/人),每股盈餘(元/股),同業公司員工薪資-平均數(仟元/人),同業公司平均每股盈餘(元/股),非經理人之全時員工薪資平均數未達50萬元,公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少,公司經營績效與員工薪酬之關聯性及合理性說明
資訊服務業,2471,資通,"263,458",259,"1,017",1.21,879,2.13,,,,
航運業,2208,台船公司,"2,930,902","2,886","1,016",-8.87,"1,149",0.62,,,,
塑膠工業,1309,台達化工,"414,307",408,"1,015",0.63,"1,249",5.5,,,,依公司經營績效及個人績效發放獎金及調整薪資。
汽車工業,2201,裕隆汽車,"1,091,893","1,086","1,005",1.39,707,5.02,,,,
貿易百貨,2614,東森,"250,725",250,"1,003",1.74,788,3.29,,,,
通信網路業,3704,合勤控,"1,682,526","1,677","1,003",-1.38,"1,123",2.93,,,,
金融保險業,2884,玉山金控,"7,618,090","7,604","1,002",1.58,"1,155",1.65,,,,
半導體業,8261,富鼎,"120,270",120,"1,002",2.04,"1,228",7.24,,,,
電腦及週邊設備業,2395,研華,"2,907,564","2,905","1,001",9.02,"1,200",2.73,,V,,"本公司薪酬結構除本薪,另有績效獎金、員工分紅及發行員工股票選擇權,將公司經營績效與員工薪酬緊密連結. 本公司在臺灣設有生產基地,占全球產能一半,共有2,913位員工,其中38%服務於製造體系,反映於公司平均薪資上."
電子零組件業,4989,榮科,"208,298",208,"1,001",1.88,785,5.37,,,,
光電業,6120,達運,"931,937",931,"1,001",0.48,816,1.04,,,,
電腦及週邊設備業,3057,喬鼎資訊,"258,928",259,"1,000",-0.4,"1,200",2.73,,,,
油電燃氣業,9908,大台北,"259,233",260,997,1.32,"1,170",5.48,,,,
其他電子業,6283,淳安電子,"44,814",45,996,0.19,"1,179",7.41,,,,
其他,9941,裕融企業,"535,640",538,996,9.27,780,3.69,,,,
鋼鐵工業,2029,盛餘,"546,759",550,994,0.33,"1,115",1.57,,,,
航運業,2609,陽明海運,"1,471,529","1,480",994,-2.53,"1,149",0.62,,,,
電子零組件業,2415,錩新,"20,699",21,986,1.26,785,5.37,,,,
油電燃氣業,9918,欣天然,"168,663",171,986,1.27,"1,170",5.48,,,,
通信網路業,3311,閎暉,"142,623",145,984,-0.19,"1,123",2.93,,,,
電子零組件業,6449,鈺邦科技,"67,916",69,984,2.24,785,5.37,,,,
通信網路業,2314,台揚科技,"346,042",352,983,0.23,"1,123",2.93,,,,
建材營造,2520,冠德,"72,711",74,983,1.03,783,1.81,,,,
其他電子業,6192,巨路國際,"362,547",369,983,6.95,"1,179",7.41,,,,
光電業,3454,晶睿,"597,215",609,981,3.92,816,1.04,,,,
通信網路業,6674,鋐寶科技,"116,660",119,980,3.02,"1,123",2.93,,V,,"員工薪酬除衡量公司經營績效(如每股盈餘外),亦須配合內部整體經營目標及其員工績效表現,而本公司於107年底方上市掛牌,其薪酬結構尚待調整中。"
通信網路業,6152,百一電子,"189,172",193,980,-3.54,"1,123",2.93,,,,
鋼鐵工業,2014,中鴻,"1,102,575","1,126",979,2.11,"1,115",1.57,,V,,因本公司107年尚有累積虧損待彌補，故員工酬勞並非以全部盈餘計算，以致全時員工薪資平均數低於同業水準。
光電業,2409,友達,"22,758,055","23,247",979,1.06,816,1.04,,,,
金融保險業,2883,開發金,"6,217,584","6,366",977,0.54,"1,155",1.65,,,,
通信網路業,3062,建漢科技,"196,182",201,976,0.51,"1,123",2.93,,,,
橡膠工業,2103,台橡,"623,799",642,972,1.44,632,1.17,,,,
其他,9940,信義房屋,"3,493,987","3,613",967,2.04,780,3.69,,,,
紡織纖維,1439,中和羊毛,"11,594",12,966,-0.75,637,1.5,,,,
電機機械,1507,永大機電,"1,619,324","1,677",966,1.65,743,1.51,,,,
通信網路業,6216,居易,"187,297",194,965,2.28,"1,123",2.93,,,,
水泥工業,1101,台泥,"795,066",826,963,4.37,862,3.29,,,,
電腦及週邊設備業,3046,建碁,"93,405",97,963,-0.19,"1,200",2.73,,,,
金融保險業,2888,新光金,"13,819,082","14,398",960,0.89,"1,155",1.65,,,,
電腦及週邊設備業,6166,凌華科技,"973,616","1,014",960,1.12,"1,200",2.73,,,,
金融保險業,2816,旺旺保險,"949,957",994,956,2.84,"1,155",1.65,,V,,"1.員工薪酬除固定薪資,另依年度經營績效及個人績效核發年終獎金與員工酬勞。2.依本公司章程第35條之1規定,年度如有獲利,應提撥1%-5%為員工酬勞。本公司依章程規定經董事會討論提撥107年度稅後盈餘1.4%為員工酬勞。"
光電業,2374,佳能,"585,491",613,955,-1.64,816,1.04,,,,
電機機械,1503,士電,"1,776,601","1,862",954,2.72,743,1.51,,,,
汽車工業,3346,麗清,"39,098",41,954,3.02,707,5.02,,,,
貿易百貨,2912,統一超,"5,244,690","5,506",953,9.82,788,3.29,,,,
通信網路業,3694,海華科技,"155,310",163,953,-0.81,"1,123",2.93,,,,
其他,8341,日友,"244,449",257,951,7.38,780,3.69,,,,
光電業,8215,明基材料,"1,220,366","1,284",950,1.02,816,1.04,,,,
紡織纖維,4414,如興,"69,175",73,948,-1.82,637,1.5,,,,
其他電子業,2360,致茂電子,"1,501,053","1,586",946,6.22,"1,179",7.41,,,,
建材營造,5515,建國工程,"227,732",241,945,0.62,783,1.81,,,,
其他電子業,6558,興能高,"49,160",52,945,2.17,"1,179",7.41,,,,
資訊服務業,2480,敦陽科技,"404,094",428,944,3.8,879,2.13,,,,
電子零組件業,2492,華新科,"2,010,105","2,130",944,40.75,785,5.37,,,,
其他電子業,2423,固緯,"337,065",358,942,2.37,"1,179",7.41,,,,
建材營造,2530,華建,"24,496",26,942,0.1,783,1.81,,,,
金融保險業,2832,台產,"740,884",788,940,1.55,"1,155",1.65,,,,
電腦及週邊設備業,2442,新美齊,"36,503",39,936,3.46,"1,200",2.73,,V,,1.108年度調薪作業已完成，依同仁貢獻度、績效表現為參考方向。今年調薪人數比率達63%，調幅約3%。2.年終獎金、員工酬勞則依同仁貢獻度、績效表現呈差異化分配方式。
電子零組件業,3550,聯穎,"37,450",40,936,1.37,785,5.37,,,,
資訊服務業,6112,聚碩,"254,891",273,934,2.86,879,2.13,,,,
通信網路業,5388,中磊電子,"962,096","1,032",932,3.32,"1,123",2.93,,V,,本公司經營績效良好並重視員工，長期持續評估市場薪酬水位以確保員工薪資之競爭力。且本公司因美中貿易戰，於107年開始大規模產量回流台灣，台灣廠之產能倍增，廠區員工作機會亦隨之增加。
電器電纜,1605,華新,"2,210,749","2,375",931,3.53,711,1.96,,,,
電子通路業,3528,安馳科技,"115,405",124,931,2.71,900,3.73,,,,
貿易百貨,2908,特力,"304,960",328,930,0.8,788,3.29,,,,
建材營造,2548,華固建設,"50,164",54,929,3.12,783,1.81,,,,
生技醫療業,4164,承業醫,"102,239",110,929,2.32,674,1.42,,,,
電子通路業,2459,敦吉,"62,084",67,927,4.03,900,3.73,,,,
通信網路業,8101,華冠通訊,"337,679",365,925,-3.41,"1,123",2.93,,,,
金融保險業,2889,國票金控,"1,129,559","1,225",922,0.72,"1,155",1.65,,,,
通信網路業,3380,明泰科技,"1,027,165","1,114",922,-0.17,"1,123",2.93,,,,
資訊服務業,3029,零壹科技,"160,861",175,919,2.06,879,2.13,,,,
紡織纖維,1402,遠東新,"4,261,245","4,649",917,2.41,637,1.5,,,,
電腦及週邊設備業,2331,精英,"733,433",800,917,0.04,"1,200",2.73,,,,
金融保險業,2855,統一證券,"1,274,687","1,390",917,0.87,"1,155",1.65,,,,
通信網路業,2439,美律,"655,629",716,916,10.47,"1,123",2.93,,V,,因每間公司的產業型態不同(本公司非屬電信業者)、服務客戶、產品、相關技術不盡相同，實際營運與組織功能(本公司非屬品牌公司)有落差，獲利情形及股本不盡相同，經試算本公司平均薪資占整體獲利與同業差異不大。
通信網路業,3025,星通,"123,530",135,915,0.02,"1,123",2.93,,,,
食品工業,1737,臺鹽,"416,920",457,912,2.26,776,2.53,,,,
通信網路業,3047,訊舟科技,"286,974",315,911,-0.15,"1,123",2.93,,,,
建材營造,5534,長虹,"30,973",34,911,14.34,783,1.81,,,,
其他電子業,6139,亞翔工程,"316,238",348,909,2.41,"1,179",7.41,,,,
資訊服務業,6214,精誠資訊,"1,389,500","1,528",909,4.27,879,2.13,,,,
生技醫療業,4119,旭富製藥,"213,634",236,905,5.63,674,1.42,,,,
建材營造,2545,皇翔,"32,360",36,899,2.59,783,1.81,,,,
電機機械,2049,上銀科技,"4,415,411","4,920",897,18.44,743,1.51,,,,
半導體業,3016,嘉晶,"542,484",605,897,1.57,"1,228",7.24,,,,
電子通路業,3209,全科,"183,297",205,894,1.25,900,3.73,,,,
通信網路業,4906,正文,"717,110",803,893,-0.07,"1,123",2.93,,,,
建材營造,2547,日勝,"91,762",103,891,3.77,783,1.81,,,,
化學工業,4764,雙鍵,"66,813",75,891,8.06,795,1.75,,,,
航運業,2633,台灣高鐵,"3,865,345","4,355",888,1.9,"1,149",0.62,,V,,本公司每年視經營成果發放年終與績效獎金，並已連續四年調薪，較諸人力結構、職務特性與一般市場薪酬行情，已具足夠競爭力。另於產業特性、經營區域及獎酬政策等與航運業相較皆非公允，薪資水準難有客觀一致標準。
其他,8481,政伸,"211,212",238,887,3.35,780,3.69,,,,
電腦及週邊設備業,3002,歐格電子,"26,563",30,885,-0.28,"1,200",2.73,,,,
半導體業,8271,宇瞻科技,"404,163",459,881,3.56,"1,228",7.24,,,,
電腦及週邊設備業,6579,研揚科技,"394,892",450,878,6.86,"1,200",2.73,,V,,員工薪酬含月薪、三節及員工酬勞。員工酬勞依公司章程辦理-當年度獲利扣除累積虧損後，如尚有盈餘應提撥不低於5%經比較IPC 15間同業提撥率1.6~15.2%，本公司提撥率6.9%為中間值正常水準
建材營造,3056,總太地產,"46,467",53,877,1.46,783,1.81,,,,
電子零組件業,3090,日電貿,"112,849",129,875,8.56,785,5.37,,,,
貿易百貨,2601,益航,"27,937",32,873,0.01,788,3.29,,,,
電子零組件業,2472,立隆電子,"74,782",86,870,4.42,785,5.37,,,,
半導體業,5305,敦南科技,"705,678",811,870,2.8,"1,228",7.24,,,,
電子零組件業,6197,佳必琪,"109,573",126,870,2.18,785,5.37,,,,
電子通路業,3312,弘憶國際,"54,757",63,869,1.28,900,3.73,,,,
電子零組件業,6282,康舒,"1,039,692","1,197",869,1.95,785,5.37,,,,
通信網路業,2498,宏達電,"4,335,614","4,993",868,14.72,"1,123",2.93,,V,,HTC向來致力於提供具競爭力之薪資福利，以吸引優秀人才加入團隊，保持公司競爭優勢。應主管機關要求揭露非擔任主管職務全時員工平均薪資，若單就一般同仁〈不含製造同仁〉平均年薪為新台幣140萬元，高於同業平均。
通信網路業,4904,遠傳,"4,865,492","5,618",866,2.88,"1,123",2.93,,,,
電子零組件業,3026,禾伸堂,"722,515",835,865,17.61,785,5.37,,,,
電機機械,4532,瑞智精密,"329,292",381,864,2.2,743,1.51,,,,
化學工業,1717,長興材料,"1,582,688","1,833",863,1.25,795,1.75,,,,
其他電子業,2495,普安,"365,019",423,863,0.43,"1,179",7.41,,,,
電腦及週邊設備業,3022,威強電,"373,079",433,862,2.87,"1,200",2.73,,V,,電腦及週邊設備業之產品及其技術層次種類繁多且分布較廣，因本公司部分產品仍在台自行生產，且部分技術研發為整合來自其他關聯企業資源，因此相應人力需求結構及其成本可能相較同業有所不同。
建材營造,2597,潤弘精密,"476,922",553,862,4.9,783,1.81,,,,
電子零組件業,2327,國巨,"2,877,802","3,345",860,80.3,785,5.37,,,,公司於台灣區工廠基層員工人數較多，所佔比例相對於全體員工比重較高。公司營收獲利因為市場因素在一年內成長數倍，薪資結構無法在一年內即時反應，後續會參考同業薪資水平，做相應調整 。
電子通路業,2347,聯強國際,"1,093,728","1,272",860,3.96,900,3.73,,V,,主要係因107年度本公司處分採用權益法之投資利益$7.4億（佔EPS$0.44)，此係一次性（非固定）之業外收入，若排除此因素EPS約為$3.52，經營績效與員工薪酬之關聯性應屬合理
電子零組件業,2421,建準電機,"428,964",499,860,2.41,785,5.37,,,,
金融保險業,2849,安泰銀行,"1,193,945","1,389",860,1.26,"1,155",1.65,,,,
其他,9904,寶成工業,"2,919,825","3,396",860,3.63,780,3.69,,,,
汽車工業,4551,智伸科,"45,542",53,859,6.1,707,5.02,,,,
電腦及週邊設備業,3013,晟銘電子,"56,617",66,858,0.65,"1,200",2.73,,,,
光電業,3356,奇偶科技,"187,527",219,856,0.77,816,1.04,,,,
其他,6581,鋼聯,"65,009",76,855,7.11,780,3.69,,,,
金融保險業,2823,中壽,"1,593,505","1,867",854,2.54,"1,155",1.65,,V,,金融保險業涵蓋之行業範圍廣，業態不盡相同，壽險業僱用基層保單行政及推廣人員之比例較高，故平均薪資呈現亦不同。本公司每股盈餘較去年成長，員工平均薪資、獎金皆隨之成長，與壽險同業比較，薪酬合理。
電腦及週邊設備業,2365,昆盈企業,"69,771",82,851,0.4,"1,200",2.73,,,,
電子通路業,3028,增你強,"227,929",268,850,1.9,900,3.73,,,,
電腦及週邊設備業,3701,大眾投控,"214,609",253,848,1.29,"1,200",2.73,,,,
鋼鐵工業,2006,東和鋼鐵,"1,293,873","1,531",845,0.88,"1,115",1.57,,,,
電子零組件業,2457,飛宏科技,"409,864",485,845,-0.73,785,5.37,,,,
電機機械,1535,中宇,"1,006,795","1,193",844,0.79,743,1.51,,,,
造紙工業,1904,正隆,"2,819,227","3,343",843,3.38,739,1.25,,,,
電子零組件業,8046,南電,"4,619,609","5,484",842,-0.9,785,5.37,,,,
生技醫療業,1789,台灣神隆,"502,830",598,841,0.56,674,1.42,,,,
其他電子業,2359,所羅門,"137,882",164,841,1.65,"1,179",7.41,,,,
建材營造,2539,櫻花建設,"25,241",30,841,1.1,783,1.81,,,,
航運業,2617,台航,"241,077",288,837,2.29,"1,149",0.62,,V,,本公司因外籍乙籍船員人數比例高，其薪資遠低於本國籍陸/海員工，致統計數字偏差。
電機機械,8374,羅昇,"84,487",101,837,1.28,743,1.51,,,,
建材營造,2505,國揚實業,"45,969",55,836,-0.08,783,1.81,,,,
建材營造,2524,京城,"25,094",30,836,1.29,783,1.81,,,,
生技醫療業,3705,永信,"1,039,084","1,245",835,2.64,674,1.42,,,,
生技醫療業,4104,佳醫,"147,767",177,835,3.53,674,1.42,,,,
電子零組件業,3338,泰碩電子,"75,047",90,834,1.8,785,5.37,,,,
航運業,2607,榮運,"845,117","1,015",833,0.81,"1,149",0.62,,V,,上市公司航運業涵蓋海運、航空及陸運三大類，因市場規模及行業特性所需之專業技能不同，薪酬行情亦有差異，海運業海勤人員及航空業機師、空服員薪資本較陸運業人員高，以陸運業而言，本公司薪酬並未低於同業水準。
通信網路業,2455,全新,"174,100",209,833,2.16,"1,123",2.93,,,,
油電燃氣業,9931,欣高,"78,247",94,832,2.07,"1,170",5.48,,,,
化學工業,4725,信昌化,"154,377",186,830,1.14,795,1.75,,,,
資訊服務業,2453,凌群,"743,001",896,829,0.63,879,2.13,,,,
電機機械,1504,東元電機,"1,979,439","2,391",828,1.59,743,1.51,,,,
電腦及週邊設備業,9912,偉聯,"25,602",31,826,0.23,"1,200",2.73,,,,
電子零組件業,4999,鑫禾,"202,880",246,825,6.33,785,5.37,,,,
金融保險業,2867,三商美邦,"1,229,801","1,492",824,-0.14,"1,155",1.65,,,,
貿易百貨,2905,三商,"1,231,529","1,494",824,0.43,788,3.29,,,,
電子零組件業,6115,鎰勝,"87,331",106,824,2.81,785,5.37,,,,
水泥工業,1104,環球水泥,"252,327",307,822,1.62,862,3.29,,,,
電腦及週邊設備業,2405,浩鑫,"228,643",278,822,-0.4,"1,200",2.73,,,,
其他,8497,格威傳媒,"68,106",83,821,5.16,780,3.69,,,,
半導體業,3054,立萬利,"18,851",23,820,0.01,"1,228",7.24,,,,
電子零組件業,2493,揚博科技,"208,824",255,819,3,785,5.37,,,,
電子零組件業,3432,台端,"13,107",16,819,4.2,785,5.37,,,,
電機機械,1537,廣隆光電,"94,809",116,817,12.03,743,1.51,,,,
化學工業,1708,東鹼,"109,177",134,815,1.74,795,1.75,,,,
電腦及週邊設備業,3017,奇鋐科技,"326,013",400,815,2.01,"1,200",2.73,,,,
光電業,3535,晶彩科,"180,126",221,815,1.07,816,1.04,,,,
建材營造,1436,華友聯,"29,256",36,813,4.48,783,1.81,,,,
電腦及週邊設備業,2380,虹光精密,"316,065",389,813,-2.05,"1,200",2.73,,,,
建材營造,3703,欣陸投控,"885,812","1,089",813,2.36,783,1.81,,,,
光電業,3669,圓展,"328,176",405,810,0.5,816,1.04,,,,
建材營造,5519,隆大營建,"59,154",73,810,2.41,783,1.81,,,,
電子零組件業,2440,太空梭,"16,176",20,809,-0.42,785,5.37,,,,
金融保險業,6005,群益證,"1,314,807","1,625",809,0.61,"1,155",1.65,,,,
光電業,6176,瑞儀光電,"839,132","1,039",808,10.83,816,1.04,,V,,我司派駐海外之台籍員工偏高(達百人約10%)，其駐外人員部分薪資乃由海外子公司發放，故我司在申報時考量申報計算基礎一致性，駐外員工均不納入計算；若將上述駐外員工納入計算，我司申報數係遠遠高於產業平均。
光電業,3019,亞洲光學,"587,108",728,806,3.89,816,1.04,,V,,"係因本公司非擔任主管職務之全時員工資訊包含本國人及外藉人士，扣除外藉人士，本國人薪資總額為548,074仟元，員工人數加權平均為640人，員工薪資-平均數(仟元/人)為856仟元，優於同業平均薪資815仟元。"
建材營造,2527,宏璟,"22,472",28,803,1.6,783,1.81,,,,
電腦及週邊設備業,6235,華孚科技,"38,566",48,803,1.01,"1,200",2.73,,,,
電子零組件業,8039,台虹科技,"568,305",709,802,3.22,785,5.37,,,,
電腦及週邊設備業,2399,映泰,"108,976",136,801,-1.37,"1,200",2.73,,,,
建材營造,2506,太設,"50,407",63,800,0.51,783,1.81,,,,
電子零組件業,8103,瀚荃,"124,862",156,800,2.51,785,5.37,,,,
電子零組件業,2431,聯昌電子,"55,126",69,799,-1.71,785,5.37,,,,
半導體業,2342,茂矽,"449,679",564,797,1.54,"1,228",7.24,,,,
其他電子業,2477,美隆電,"91,473",115,795,0.86,"1,179",7.41,,,,
建材營造,1805,寶徠,"10,308",13,793,-1.17,783,1.81,,,,
電腦及週邊設備業,2465,麗臺科技,"217,240",274,793,-1.12,"1,200",2.73,,,,
電子零組件業,3015,全漢,"608,974",768,793,0.4,785,5.37,,,,
電子零組件業,3645,達邁,"275,106",347,793,3.2,785,5.37,,,,
光電業,3504,揚明光學,"648,275",819,792,1.57,816,1.04,,V,,本公司定期參考產業人才市場之薪資水準，衡量公司薪資在就業市場競爭力。107年所申報非擔住主管職務的全時員工平均薪資低於同業平均數，推估主要係因公司直接人員約占總人數約4成所致。
航運業,5607,遠雄港,"334,926",423,792,1.3,"1,149",0.62,,V,,本公司與航運類股之行業屬性及人力結構差異較大。
通信網路業,3682,亞太電信,"1,220,874","1,541",792,-0.77,"1,123",2.93,,,,
半導體業,3583,辛耘,"398,307",504,790,5.16,"1,228",7.24,,,,
電子零組件業,2478,大毅,"508,708",645,789,7.26,785,5.37,,,,
電腦及週邊設備業,6206,飛捷,"330,497",421,785,5.6,"1,200",2.73,,V,,因本公司107年度外勞人數佔總員工人數21%，致本公司員工(年度)薪資平均數低於同業平均數。
鋼鐵工業,3004,豐達科技,"304,651",389,783,5.72,"1,115",1.57,,V,,"公司生產航太及工業扣件產品的製造業(屬傳統),人力結構以現場人力居多,現每月給付現場同仁薪資應屬具競爭性,近幾年積極擴充產能及人力,將持續改善績效評核制度及獎酬制度,以利穩定人才並使人員獲利也可持續攀升."
電子零組件業,6224,聚鼎,"152,600",195,783,4.38,785,5.37,,,,
化學工業,4755,三福化工,"260,529",334,780,4.38,795,1.75,,V,,列入統計資料的員工共有334人，其中新進員工2017年39人，2018年36人。新進員工因在學習階段，而且變動獎金的發放會考量到在職日數，因此新進員工的變動獎金會略低，年所得較低，進而影響到全公司的平均數。
玻璃陶瓷,1817,凱撒衛浴,"66,911",86,778,3.5,587,0.17,,,,
電機機械,1558,伸興,"254,970",328,777,15.26,743,1.51,,,,
電腦及週邊設備業,2387,精元電腦,"175,599",226,777,0.62,"1,200",2.73,,,,
其他電子業,6215,和椿科技,"121,953",157,777,0.59,"1,179",7.41,,,,
半導體業,8150,南茂科技,"4,388,945","5,678",773,1.37,"1,228",7.24,,,,
生技醫療業,1762,中化合成,"195,261",253,772,3.02,674,1.42,,,,
半導體業,2338,光罩,"144,373",187,772,1.02,"1,228",7.24,,,,
其他,6625,必應,"181,266",235,771,2.43,780,3.69,,,,
其他電子業,2488,漢平,"117,033",152,770,3.65,"1,179",7.41,,,,
紡織纖維,4438,廣越,"151,672",197,770,7.43,637,1.5,,,,
建材營造,2537,聯上開發,"16,159",21,769,0.09,783,1.81,,,,
