產業類別,公司代號,公司名稱,員工薪資總額(仟元),員工人數-加權平均(人),員工薪資-平均數(仟元/人),每股盈餘(元/股),同業公司員工薪資-平均數(仟元/人),同業公司平均每股盈餘(元/股),非經理人之全時員工薪資平均數未達50萬元,公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少,公司經營績效與員工薪酬之關聯性及合理性說明
電腦及週邊設備業,2397,友通資訊,"446,780",582,768,5.28,"1,200",2.73,,V,,因近二成人力為外籍勞工，故計算至員工平均薪資數，表現略低於同業水準。惟本公司仍致力於全體員工其它有形及無形福利，包括多元活動舉辦、員工關懷、職涯發展等。期許用永續經營理念，提升基層員工待遇。
電子零組件業,3058,立德電子,"96,742",126,768,-0.94,785,5.37,,,,
電子零組件業,2383,台光電子,"657,964",858,767,5.48,785,5.37,,V,,一、配合政府一例一休政策，重新規劃人力配置，並適度增加人力編制，增加就業機會。二、減少平/假日加班需求，員工有更充份時間進行休閒活動，降低過勞風險。
生技醫療業,4746,台耀,"496,979",648,767,1.85,674,1.42,,,,
通信網路業,3419,譁裕實業,"122,617",160,766,0.59,"1,123",2.93,,,,
其他電子業,3518,柏騰科技,"35,937",47,765,-4.27,"1,179",7.41,,,,
電子零組件業,6205,詮欣,"107,914",141,765,2.01,785,5.37,,,,
其他,8422,可寧衛,"61,924",81,764,12.13,780,3.69,,V,,(1)其他行業別組成複雜，彼此間行業特性差異大，綜合比較易失真。(2)非擔任主管職務之全時員工薪資水平，本公司已逐年調整成長。
光電業,3481,群創光電,"23,052,619","30,193",764,0.22,816,1.04,,,,
鋼鐵工業,2023,燁輝,"1,007,613","1,323",762,0.16,"1,115",1.57,,,,
電子通路業,2414,精技電腦,"274,085",360,761,1.58,900,3.73,,,,
建材營造,5533,皇鼎建設,"30,437",40,761,0.82,783,1.81,,,,
其他,2443,新利虹,"27,317",36,759,-2.34,780,3.69,,,,
通信網路業,2321,東訊,"173,532",229,758,-0.32,"1,123",2.93,,,,
電機機械,3167,大量科技,"169,052",223,758,5.42,743,1.51,,,,
貿易百貨,1432,大魯閣實業,"18,164",24,757,-1.1,788,3.29,,,,
其他電子業,8201,無敵,"93,894",124,757,-0.47,"1,179",7.41,,,,
光電業,3406,玉晶光,"260,161",344,756,9.38,816,1.04,,V,,1.公司有免費提供員工伙食(午餐/晚餐)，所以薪資未有代金。2.當年度到/離職者，滿半年但未足12個月，其佔比超過12%，此部份未計給員工分紅和離職者亦未發放年終獎金。
電機機械,1532,勤美,"223,154",295,756,4.76,743,1.51,,,,
電子零組件業,3605,宏致,"262,913",348,755,1.92,785,5.37,,,,
光電業,2448,晶電,"2,706,846","3,591",754,-0.42,816,1.04,,,,
電子零組件業,2462,良得電,"33,930",45,754,0.08,785,5.37,,,,
通信網路業,6142,友勁科技,"256,276",340,754,-0.82,"1,123",2.93,,,,
建材營造,2511,太子,"158,430",211,751,0.77,783,1.81,,,,
觀光事業,8462,柏文,"1,013,324","1,350",751,7.69,552,1.38,,,,
建材營造,2546,根基,"501,448",669,750,3.84,783,1.81,,V,,薪酬統計母群包含支領基本工資的外籍勞工(佔總人數3成)，本公司引進外籍勞工主係考量公共工程的進度里程碑、解決下包商人力短缺現況，以實現對業主承諾。因前述引進外籍勞工，影響本地員工薪資平均數約降低3成。
橡膠工業,6582,申豐,"123,813",165,750,4.08,632,1.17,,,,
半導體業,6239,力成,"7,691,688","10,271",749,8.02,"1,228",7.24,,V,,"主因係職務人力結構所致。研發工程行政：「3524人、占34.3%、薪資平均數1,196仟元」。本國藉作業員：「3841人、占37.4%、薪資平均數610仟元」。外藉作業員：「2906人、占28.3%、薪資平均數395仟元」。"
半導體業,2441,超豐電子,"2,566,431","3,427",749,4.18,"1,228",7.24,,,,
貿易百貨,8454,富邦媒,"1,344,897","1,798",748,10.35,788,3.29,,V,,107年度因擴大招募，任職滿6個月未滿12個月(未全年度在職)人數占23%，此部份員工未領滿全年度薪資，且包含工讀生人數，故影響我司平均年薪低於同業水準。
生技醫療業,1707,葡萄王,"255,784",342,748,9.57,674,1.42,,,,
貿易百貨,2901,欣欣大眾,"20,936",28,748,0.43,788,3.29,,,,
其他,6670,復盛應用,"554,594",742,747,16.85,780,3.69,,V,,復盛應用科技為工業局核定等級A+級之3K(辛苦、骯髒、危險)產業，在人口老化結構及就業選擇上，無法滿足用工人數，目前聘用約30%外籍勞工，大幅拉低薪資平均。對比所比較其他非屬同A+級3k產業，造就低於同業水準情況!
建材營造,2504,國產,"410,796",550,747,0.37,783,1.81,,,,
建材營造,6177,達麗,"28,396",38,747,0.2,783,1.81,,,,
光電業,6226,光鼎電子,"28,386",38,747,0.07,816,1.04,,,,
其他,9907,統一實業,"875,853","1,173",747,0.94,780,3.69,,,,
電器電纜,1604,聲寶,"512,772",687,746,1.52,711,1.96,,,,
半導體業,3711,日月光投控,"34,925,189","46,885",745,5.95,"1,228",7.24,,,,
紡織纖維,1441,大東紡織,"132,172",178,743,11.66,637,1.5,,,,
通信網路業,3027,盛達電業,"86,182",116,743,1.67,"1,123",2.93,,,,
紡織纖維,1409,新纖,"1,204,095","1,622",742,1.52,637,1.5,,,,
食品工業,1227,佳格,"662,146",893,741,3.25,776,2.53,,V,,"107年度EPS3.25元含出售五股廠辦利益EPS0.4元,另若加計108年6月預計發放之107年度員工酬勞31723仟元(較去年增加8335仟元)及其他禮金及旅遊補助款等,人均薪資約增加35.6仟元"
電機機械,8996,高力,"371,083",501,741,2.57,743,1.51,,,,
汽車工業,2206,三陽工業,"1,668,351","2,259",739,1.26,707,5.02,,,,
航運業,2636,台驊投控,"213,343",289,738,3.07,"1,149",0.62,,V,,本公司員工與同業員工組成結構差異較大，本公司同業大多為航空公司及船公司，其員工結構為機師、空姐、船員，以及航太業專門技術人員等，屬於工時長、風險性高或技術門檻較高之職務，因此其薪資原本就較一般公司高。
電機機械,1514,亞力電機,"422,077",573,737,1.09,743,1.51,,,,
金融保險業,2838,聯邦銀行,"2,518,102","3,433",733,1.07,"1,155",1.65,,,,
電子零組件業,3044,健鼎科技,"891,987","1,220",731,9.4,785,5.37,,V,,本公司員工薪酬係參考印刷電路板同業薪酬水準並依廠區職級與營運貢獻度按公司人事薪酬相關規則所議定；另，依公司章程第卅二條規定於年度獲利中提撥6%~18%為員工酬勞。
半導體業,2451,創見資訊,"821,423","1,126",730,4.83,"1,228",7.24,,,,
化學工業,1714,和桐化學,"52,477",72,729,0.26,795,1.75,,,,
光電業,6116,彩晶,"2,036,500","2,792",729,0.32,816,1.04,,,,
油電燃氣業,2616,山隆通運,"804,214","1,104",728,1.76,"1,170",5.48,,,,
光電業,3557,嘉威光電,"9,464",13,728,0,816,1.04,,,,
化學工業,4766,南寶,"466,072",643,725,6.15,795,1.75,,V,,若將本公司淨利扣除投資收益後之EPS為2.66，並未高於同業太多。員工薪酬福利係參考公司營運績效、未來經營風險、發展趨勢、個人績效達成率及對公司績效的貢獻度，給予合理報酬，與經營績效有正面關聯性。
電子零組件業,1471,首利,"31,082",43,723,-2.13,785,5.37,,,,
電器電纜,4930,燦星網通,"15,896",22,723,-1.48,711,1.96,,,,
光電業,3698,隆達,"1,209,293","1,675",722,0.1,816,1.04,,,,
化學工業,1730,花仙子,"121,833",169,721,4.96,795,1.75,,V,,"因不含員工紅利,申報非主管級之全時員工薪資若加計108年8月預計發放之107年度員工紅利96仟元，人均薪資約增加96仟元。(107年度之員工紅利以實際發放為主)"
其他,9914,美利達,"743,817","1,032",721,5.72,780,3.69,,V,,1.本公司107年度非擔任主管職務之全時員工平均調薪約3.30%，107年度員工酬勞依公司章程規定提撥6%，與近年提撥水準相似。2.”9”開頭其他類別之上市公司產業多樣，就自行車產業而言，失去參考意義。
半導體業,8028,昇陽半導體,"394,606",547,721,1.87,"1,228",7.24,,,,
化學工業,1711,永光化學,"945,037","1,312",720,0.73,795,1.75,,,,
資訊服務業,2427,三商電腦,"440,213",611,720,0.63,879,2.13,,,,
電子零組件業,3593,力銘,"8,636",12,720,-2.32,785,5.37,,,,
其他,6655,科定,"403,345",560,720,3.5,780,3.69,,,,
化學工業,1713,國化,"56,752",79,718,0.76,795,1.75,,,,
其他電子業,2390,云辰,"46,625",65,717,-0.81,"1,179",7.41,,,,
光電業,3031,佰鴻工業,"49,483",69,717,0.58,816,1.04,,,,
航運業,5608,四維航業,"57,345",80,717,-0.54,"1,149",0.62,,,,
電腦及週邊設備業,2305,全友電腦,"65,741",92,715,-0.1,"1,200",2.73,,,,
半導體業,6271,同欣電子,"1,155,056","1,615",715,6.13,"1,228",7.24,,,,
食品工業,1234,黑松,"381,246",535,713,1.73,776,2.53,,,,
建材營造,2534,宏盛,"49,806",70,712,4.07,783,1.81,,V,,宏盛建設99年起每股盈餘低於同業，102及103年更降至(0.25)及(0.4)，104~105年稍有起色，由負轉正為0.68~1.46，因累積虧損年度較長，故107年整體薪資發放傾向保守。
光電業,6168,宏齊科技,"424,844",597,712,1.15,816,1.04,,V,,因總公司座落在「新竹科學園區」外，相較薪資水準與園區內的同業較低。且公司大部份員工是在地居民，所以薪資福利項目屬於外縣市之交通、住宿補助福利較少。
其他,9917,中保,"1,749,272","2,457",712,4.64,780,3.69,,V,,本公司所經營相關業務多元化發展，薪資結構及計算相較複雜，與「同業」所營事業屬性多不相同，若員工月底到/離職，計算半月薪資也算成1人，影響薪資平均數。除月薪外，員工有年度晉升晉級的制度，與績效聯結。
生技醫療業,4108,懷特,"22,028",31,711,-1.12,674,1.42,,,,
電機機械,4566,時碩工業,"158,463",223,711,3.33,743,1.51,,,,
鋼鐵工業,2034,允強,"613,827",864,710,2.23,"1,115",1.57,,V,,1.配合公司人力需求，使用EXTRA制度提升人力，外籍同仁比例較高。2.同業員工薪資平均數1115仟元與財務報告附註揭露之員工福利(薪資含主管)資訊中1118仟元相近，請查明各公司申報基準。
金融保險業,2809,京城銀行,"576,545",812,710,2.51,"1,155",1.65,,V,,本行已實施員工持股信託，不含經理人員工持股達9915千股，市值達3.29億元，且每年尚有三千萬元以上的業務推廣費補貼。股票增值及業務推廣費部分雖未列入薪資所得，但均為員工實質所得。
建材營造,1316,上曜,"32,676",46,710,1.39,783,1.81,,,,
電腦及週邊設備業,2424,隴華電子,"8,514",12,710,-1.38,"1,200",2.73,,,,
電子零組件業,3011,今皓,"35,443",50,709,-0.3,785,5.37,,,,
其他,2514,龍邦國際,"14,848",21,707,0.05,780,3.69,,,,
生技醫療業,1786,科妍,"52,985",75,706,1.66,674,1.42,,,,
橡膠工業,2104,國際中橡,"415,571",589,706,4.18,632,1.17,,,,
其他電子業,2373,震旦行,"638,222",904,706,6.78,"1,179",7.41,,,,
電子零組件業,3296,勝德國際,"98,807",140,706,1.01,785,5.37,,,,
化學工業,3708,上緯投控,"121,147",172,704,11.22,795,1.75,,V,,1.107年排除海能釋股利益後，EPS為1.75元與同業相當。2.依員工績效考核，107年度非固定薪酬為員工基本薪酬之23.5%。3.衡量整體產業薪資標準，於108/4調升基本薪酬約8%~9.5%。
生技醫療業,1720,生達化學,"522,023",741,704,2.09,674,1.42,,,,
半導體業,3686,達能,"80,217",114,704,-5.28,"1,228",7.24,,,,
鋼鐵工業,2031,新光鋼,"146,296",208,703,3.17,"1,115",1.57,,V,,本公司非經理人之全時員工之酬金金額，乃依其職務職位、營運參與程度及貢獻價值、該年度公司經營績效及考量公司未來風險，由單位主管評量提案，提交至總經理審議核定並送交審計委員會報告。
紡織纖維,1476,儒鴻,"1,215,475","1,728",703,15.96,637,1.5,,,,
化學工業,1724,台硝,"166,650",237,703,0.76,795,1.75,,,,
生技醫療業,4106,雃博,"189,491",270,702,1.24,674,1.42,,,,
光電業,2393,億光電子,"1,120,259","1,603",699,1.8,816,1.04,,V,,億光公司以產業特性兼顧外部競爭、內部公平為前提，提供多元並具競爭力的薪酬制度，秉持員工利潤共享的理念，留任、培育與激勵優秀人才。配合營運績效表現，億光公司整體薪酬在同產業以維持在一定的水準而努力。
橡膠工業,2101,南港輪胎,"930,619","1,331",699,0.23,632,1.17,,,,
化學工業,4722,國精化學,"207,976",298,698,2.54,795,1.75,,V,,我司相關薪資給付均符合相關勞動法規規定，每年均調增薪水，重視員工福利，勞資關係融合，平均薪資水準為同業間公司規模、員工經歷及工作年資等等所造成的差異，後續會在股東權益與員工福利之間取得平衡點。
化學工業,1721,三晃,"412,036",591,697,0.07,795,1.75,,,,
其他,9934,成霖企業,"73,930",106,697,1.69,780,3.69,,,,
光電業,2340,光磊,"900,443","1,294",696,1.47,816,1.04,,V,,1.人力結構分佈直接員工佔總人數近6成(外籍佔直接3成)，故拉低總體平均薪資。2.當年度在職月數未達12個月者，在本次申報超過1成，故影響總體平均薪資。排除上述原因，薪資平均數仍維持在平均水準上。
鋼鐵工業,5007,三星科技,"1,046,661","1,507",695,3.8,"1,115",1.57,,V,,本公司員工薪資比照扣件同業水準，而獎金是依年度稅前盈餘(經營績效)以固定比例提列並依個人考績分發；另上市鋼鐵業再細分為扣件業(如春雨、聚亨、豐達科技)來做比較，則本公司員工薪酬應於合理範圍內。
電子零組件業,6213,聯茂,"258,460",372,695,5.86,785,5.37,,V,,"本公司因產業特性需要較多工廠的產線員工(超過50%)，且當中有25%為外籍員工,導致全員平均薪資偏低。"
其他,3040,遠見,"4,167",6,695,1.31,780,3.69,,,,
光電業,6668,中揚光,"167,921",242,694,2.3,816,1.04,,V,,因產線擴增人力聘僱，且因應輪班需求製造人力占比較高。公司除提供薪資、獎金、員工酬勞外，亦發行員工認股權、限制員工權利新股及員工現金增資認股等獎酬，讓員工參與公司成長，惟前述獎酬工具並未列入本項統計。
電子零組件業,2375,智寶,"13,869",20,693,19.11,785,5.37,,V,,本公司員工薪酬政策，依員工職責考核其個人績效表現及對公司之貢獻度，並考量公司營運狀況來給予相應之酬金。本期因處分孫公司(杰美康)股權，致非經常性業外利益大幅增加， 此EPS獲利表現無法與同業比較。
貿易百貨,2903,遠百,"868,175","1,253",693,0.94,788,3.29,,,,
建材營造,9906,欣巴巴,"27,738",40,693,-0.36,783,1.81,,,,
生技醫療業,1760,寶齡富錦,"183,489",265,692,2.09,674,1.42,,,,
造紙工業,1907,永豐餘,"1,851,044","2,674",692,0.87,739,1.25,,,,
其他電子業,2433,互盛電,"288,622",417,692,3.66,"1,179",7.41,,,,
其他電子業,2482,連宇,"179,789",260,691,0.06,"1,179",7.41,,,,
電腦及週邊設備業,3060,銘異,"294,852",427,691,-2.39,"1,200",2.73,,,,
其他,9928,中視,"265,485",384,691,-1.27,780,3.69,,,,
電腦及週邊設備業,8114,振樺電子,"206,236",299,690,8.52,"1,200",2.73,,V,,本公司商業運營模式及規模、獲利組成、海內外員工結構和分工，與同業不盡相同。員工薪酬結構，係綜合衡量其工作職能和績效達成，及其對組織營運貢獻和價值創造等。另我司製造單位之員工有206位，其中44位為外籍移工
化學工業,1726,永記造漆,"451,535",655,689,4.61,795,1.75,,V,,本公司員工薪酬依照學、經歷及勞基法規範核薪，逐年依公司營運政策調整薪資，對於員工各方福利亦不吝支出，未來將持續於營運成長之際給予員工更好福利。
電子零組件業,3037,欣興電子,"6,693,735","9,720",689,1.15,785,5.37,,,,
電腦及週邊設備業,3494,誠研科技,"150,308",218,689,-1.6,"1,200",2.73,,,,
半導體業,2449,京元電子,"3,782,001","5,496",688,1.47,"1,228",7.24,,,,
食品工業,1210,大成長城,"1,311,002","1,909",687,2.75,776,2.53,,V,,本公司營業項目與其它食品業有所差異，以飼料為大宗佔55%，食品相對略低佔19%，人力結構中外籍移工約佔1/5。 依照公司營運目標的進展與獲利發放各項獎金、年終獎金，員工酬勞依年度可分配盈餘不低於2%提撥發放。
塑膠工業,1321,大洋,"320,168",467,686,-0.33,"1,249",5.5,,,,
化學工業,4720,德淵企業,"142,748",208,686,0.35,795,1.75,,,,
電機機械,1519,華城電機,"427,135",624,685,0.23,743,1.51,,,,
生技醫療業,4155,訊映,"51,262",75,683,2.15,674,1.42,,,,
通信網路業,6136,富爾特,"45,742",67,683,0.75,"1,123",2.93,,,,
光電業,3576,聯合再生,"1,367,182","2,005",682,-0.34,816,1.04,,,,
建材營造,5531,鄉林建設,"91,403",134,682,0.17,783,1.81,,,,
食品工業,1702,南僑投控,"205,597",302,681,4.09,776,2.53,,V,,本公司107年度每股盈餘較同業為佳係為集團同仁努力之成果，惟本公司於106/8/1以既存分割方式移轉相關營業及員工予二家國內子公司(該子公司非重要子公司，故無列入計算)，致影響107年度申報薪酬相關資訊。
電子零組件業,3023,信邦電子,"388,107",570,681,6.26,785,5.37,,V,,員工除領取固定薪資外，公司也於第一季與第三季發放績效獎金。績效獎金具即時激勵性與高度績效關聯性，不但反映公司整體經營獲利，也會依個人績效表現予以核發，使經營績效結果與員工薪資獎酬形成合理之連動。
光電業,3024,憶聲電子,"32,627",48,680,0.53,816,1.04,,,,
光電業,8104,錸寶,"189,355",279,679,5.66,816,1.04,,V,,本公司107年非主管員工279人，薪資皆符合法令，直接人工202人含產學合作及外籍勞工57人，以上員工無產業經驗且從事規律及低技術工作。另同業股本及獲利狀況皆高出本公司數十倍，故同業間每股盈餘有所差。
造紙工業,1909,榮成紙業,"740,285","1,091",679,0.82,739,1.25,,,,
光電業,4942,嘉彰,"170,960",252,678,4.5,816,1.04,,V,,職員有113位、技術員14位、作業員138位，平均年齡37.8歲；從學歷來看，碩士比重僅占3.02%、也就是只有8位，大專學歷占40.75%，高中學歷占47.17%，高中以下占9.06%。現場直接人員佔全公司總人數56%。
電機機械,1583,程泰,"268,233",396,677,5.41,743,1.51,,V,,"除固定薪資外亦配合業績給予績效獎金等,並已參考同業薪資水準此薪酬僅針對台灣員工,但公司轉投資及海外子公司之獲利等皆會影響EPS高低,亦即並非所有獲利皆由台灣總公司所創造,另外107年獲利部分來自匯兌收益所致"
生技醫療業,1736,喬山健康,"602,918",891,677,1.29,674,1.42,,,,
半導體業,2351,順德,"894,243","1,320",677,4.55,"1,228",7.24,,,,
電子零組件業,3653,健策,"669,761",991,676,4.61,785,5.37,,,,
電機機械,4526,東台,"546,269",810,674,1.23,743,1.51,,,,
電子通路業,8072,陞泰,"101,157",150,674,-0.25,900,3.73,,,,
造紙工業,1905,華紙,"1,293,474","1,923",673,0.4,739,1.25,,,,
光電業,3622,洋華,"85,490",127,673,0.79,816,1.04,,,,
其他,8033,雷虎科技,"10,743",16,671,-0.45,780,3.69,,,,
電子零組件業,2428,興勤電子,"250,536",375,668,7.67,785,5.37,,V,,本公司EPS 7.67元，海外子公司貢獻5.05元。直接人員約242人佔員工人數65%，平均薪資515仟元；間接人員含技術、研發、管理人員約133人，平均薪資947仟元。本公司屬勞力密集產業員工薪酬及公司經營績效配置應屬合理。
食品工業,1201,味全公司,"972,701","1,456",668,1.94,776,2.53,,,,
食品工業,1229,聯華實業,"167,708",251,668,2.35,776,2.53,,,,
光電業,3049,和鑫,"182,489",273,668,0.25,816,1.04,,,,
建材營造,9946,三發地產,"30,712",46,668,1.23,783,1.81,,,,
化學工業,1725,元禎,"57,387",86,667,1.2,795,1.75,,,,
電子零組件業,3679,新至陞,"38,659",58,667,3.35,785,5.37,,,,
電腦及週邊設備業,3416,融程電訊,"200,580",301,666,2.84,"1,200",2.73,,V,,本公司章程的員工酬勞提撥比率為5%至15%，107年度實際發放比率為8.54%。107年度調薪幅度:預計為3%，實際為3.65%，較106年度增幅達201.66%。107年度外籍移工佔員工人數為12.93%，從事於生產組裝檢測之基層作業工作。
紡織纖維,1475,本盟光電,"28,611",43,665,-4.02,637,1.5,,,,
化學工業,1712,興農,"878,290","1,321",665,1.74,795,1.75,,,,
其他,9927,泰銘,"94,386",142,665,1.75,780,3.69,,,,
鋼鐵工業,2028,威致鋼鐵,"217,831",328,664,1.58,"1,115",1.57,,V,,雖然107年獲利狀況良好，但考慮公司仍存在未彌補虧損數，需仰賴未來獲利彌補，加上財務結構也尚須改善，且鋼鐵景氣在107年第4季開始反轉，為公司穩健長久經營，員工薪資乃未與營業績效作連結。
鋼鐵工業,2020,美亞鋼管,"224,935",339,664,1.34,"1,115",1.57,,,,
建材營造,2515,中工,"530,539",799,664,0.24,783,1.81,,,,
光電業,4960,誠美材,"682,798","1,028",664,-0.98,816,1.04,,,,
資訊服務業,2468,華經,"185,754",280,663,0.61,879,2.13,,,,
通信網路業,6416,瑞祺電通,"152,873",231,662,5.42,"1,123",2.93,,V,,本公司近3年新設置生產製造單位，該單位人員數直線成長並占公司人數約35%，且其中移工又約占1/4之比例；另本公司為推動青年培力，與學校進行建教合作，每年學生人數約占員工人數的5%，故該數值尚為合理。
化學工業,1718,中纖,"464,454",702,662,1.13,795,1.75,,,,
電機機械,1530,亞崴機電,"345,537",523,661,3.45,743,1.51,,V,,公司新進人員流動率較高，故新進人員薪資會較低。106年及107年新人131人占全年給薪人數21%106年及107年新進人員薪資金額占全公司薪資比率13%，故平均薪資會降低。
光電業,6164,華興電子,"37,595",57,660,0.22,816,1.04,,,,
電機機械,1513,中興電,"1,114,550","1,693",658,1.33,743,1.51,,,,
其他,4536,拓凱,"140,297",214,656,9.31,780,3.69,,V,,"2019年2月19日主計處公布107 年每人每月總薪資平均為 51,957 元，本公司非經理人全時員工月平均薪資達54,666元左右，尚較整體平均值為高。"
電腦及週邊設備業,5258,虹堡,"127,169",194,656,-4.97,"1,200",2.73,,,,
其他電子業,2474,可成科技,"2,067,875","3,158",655,36.31,"1,179",7.41,,V,,電子業產品生產型態不相同，人力結構組成就不相同，台灣可成直接人力佔全公司比重約60%，因此在年薪呈現上會較許多電子業在台灣是以研發為主的公司低。2018年的直接人力比上年度增加，因此在年薪呈現上會稍微降低。
航運業,8367,建新國際,"221,972",339,655,1.96,"1,149",0.62,,V,,本公司參照上市同業水準訂定薪酬辦法做為員工薪資計發依據，107年稅前淨利及平均薪資費用分別較前一年減少9.81%及0.90%，另與上市營運模式相似同業相較，本公司營運績效及員工平均薪資均落於同業間，故應屬合理
